"Sample","Region","Years","ACE2","ADAM17","ANPEP","AXL","CD209","CEACAM1","CLEC4G","CLEC4M","CTSL1","DPP4","ENPEP","FURIN","ITGA2B","ITGA3","ITGA5","ITGA8","ITGAL","ITGAM","ITGAV","ITGB1","ITGB2","ITGB3","ITGB6","ITGB8","NRP1","NRP2","SCARB1","TMPRSS2"
"HSB172_STC_L","STC",3.76923076923077,"5.00868","6.71089","4.89117","7.56839","4.01593","5.52526","5.34161","4.85968","7.6133","5.29885","5.53522","7.31065","5.0784","6.55726","5.6829","5.22414","5.24179","5.46246","8.27834","7.89829","6.17822","4.7478","4.97098","8.2326","7.04913","5.72143","6.39361","5.09751"
"HSB172_V1C_L","V1C",3.76923076923077,"4.113","6.62673","5.58832","8.15867","4.84261","4.92329","5.19952","4.01944","8.27637","4.50027","5.05877","7.13303","5.07972","6.68524","6.12936","5.00879","4.84771","5.17087","9.67686","8.78127","5.47816","4.73493","4.5233","9.13351","7.96129","6.08359","7.09901","5.01153"
"HSB172_VFC_L","VFC",3.76923076923077,"3.58401","6.60271","5.46378","7.61034","4.51424","3.98085","5.15255","3.65623","8.47613","4.67855","4.37699","7.59648","4.31363","6.29731","5.62812","4.44388","4.52895","5.07373","9.35614","8.25985","6.0227","4.04827","4.02909","9.49782","7.81299","5.42382","7.29834","4.08485"
"HSB173_A1C_L","A1C",3.76923076923077,"3.79082","6.49336","5.63298","7.51046","4.51227","4.42601","5.2738","3.89826","7.78665","4.00993","4.34797","6.99685","4.23504","6.66291","6.0612","5.0949","4.6768","4.77337","9.74352","8.02824","5.93301","4.04725","4.71253","9.38853","6.95376","6.11553","6.99211","4.23003"
"HSB173_AMY_L","AMY",3.76923076923077,"3.82799","6.88052","5.72001","7.79581","5.08717","4.39959","5.42117","3.72562","7.42639","4.05202","4.29562","7.25137","4.40215","6.79905","6.33951","4.98218","4.58204","4.85509","9.32015","8.11439","5.84298","3.98045","4.27569","10.0401","8.19418","6.57677","6.84763","4.47977"
"HSB173_CBC_L","CBC",3.76923076923077,"4.02395","6.863","5.24509","6.53989","4.61416","4.02387","5.18443","3.39072","5.54989","3.94054","3.90808","7.06953","4.64804","7.38773","5.43552","4.12342","4.08576","4.52728","9.6569","7.48772","5.1558","3.85572","4.09714","7.91643","4.42593","5.17967","6.25365","4.4708"
"HSB173_HIP_L","HIP",3.76923076923077,"3.69301","6.72118","5.45432","7.38293","4.55601","4.29021","5.88204","3.53487","7.17793","4.33015","4.49432","7.36629","4.63494","6.64213","5.38095","4.42308","4.57241","4.84919","9.8847","8.31619","6.15727","3.97597","3.88085","10.1364","9.00368","6.2354","6.93321","4.17941"
"HSB173_IPC_L","IPC",3.76923076923077,"3.8353","6.15684","5.40487","7.86754","4.44365","4.48475","5.53903","3.666","7.57167","4.48648","4.17427","6.83562","4.57893","6.3552","5.84245","4.884","4.63441","4.95824","9.54584","8.00068","6.49204","4.02322","4.14555","9.76936","7.57977","5.82243","6.91039","4.25694"
"HSB173_ITC_L","ITC",3.76923076923077,"3.8196","6.59371","5.4211","7.68304","5.23042","4.74648","5.93994","3.56843","7.07169","4.20324","4.44619","7.04961","4.5912","6.38367","5.76042","4.56556","5.01757","5.00485","9.51258","8.0934","6.52101","4.2159","4.21191","9.73581","7.41033","5.49214","6.74986","4.345"
"HSB173_M1C_L","M1C",3.76923076923077,"4.13957","6.36981","5.75036","7.8825","5.62215","4.50408","5.68272","3.5177","8.14959","4.34681","4.36205","7.20485","4.4272","6.57646","5.8274","4.7016","4.85221","5.02518","9.44612","7.71873","6.43902","3.87249","4.06813","9.70938","8.1286","5.1018","6.43559","4.05217"
"HSB173_MD_L","MD",3.76923076923077,"3.73344","7.01157","5.76908","7.35861","4.31967","4.20101","4.4205","3.38296","7.161","3.7918","3.85319","7.284","4.39073","6.71503","6.30217","5.55529","4.43484","4.39675","9.66896","8.29165","5.39502","3.81492","3.95717","9.84108","8.2387","7.5777","6.35675","3.99871"
"HSB173_S1C_L","S1C",3.76923076923077,"4.26958","6.44686","5.51474","7.74424","4.45915","4.26605","5.55815","3.8191","7.39569","4.63254","4.29081","6.78226","4.84679","6.14954","6.13116","4.59333","4.92988","4.94394","9.96873","7.99294","6.12614","4.40313","4.47936","9.84667","7.56307","5.83533","6.85859","4.3239"
"HSB173_STC_L","STC",3.76923076923077,"3.72794","6.74275","5.29348","7.80023","4.44775","4.33968","5.70361","3.73733","7.68927","4.28216","4.61307","7.10504","4.44857","6.55545","6.0806","4.93998","4.667","4.73326","9.24169","8.19161","6.598","4.24726","4.01758","9.44033","7.13818","5.84537","6.5555","4.354"
"HSB173_STR_L","STR",3.76923076923077,"3.98388","7.11669","6.11952","8.03821","4.95083","4.78791","5.49796","3.76179","7.10974","4.05741","4.61667","7.37135","4.75065","6.4869","6.40407","4.47519","4.64763","4.87427","9.80052","9.19476","6.7043","3.89278","4.44874","10.4642","6.78842","6.38896","7.16221","4.28113"
